participant_id	sex
sub-01	M
sub-02	F
sub-03	F
sub-04	F
sub-05	F
sub-06	M
sub-07	F
sub-08	M
sub-09	M
sub-10	M
sub-11	M
sub-12	M
sub-13	M
sub-14	M
sub-15	M
sub-16	M
sub-17	F
sub-18	M
sub-19	F
sub-20	M
sub-21	M
sub-22	M
sub-23	M
sub-24	M
sub-25	F
sub-26	M
sub-27	M
sub-28	F
sub-29	M
sub-30	M
sub-31	F
sub-32	F
sub-33	M
sub-34	M
sub-35	M
sub-36	F
sub-37	M
sub-38	F
sub-39	F
sub-40	M
sub-41	M
sub-42	M
sub-43	M
sub-44	M
sub-45	M
sub-46	F
sub-47	M
sub-48	F
sub-49	F
sub-50	M
sub-51	F
sub-52	M
