ID	Age	Gender	Student or not	1. Major	2. Undergraduate/graduate student	3. Favorite subject before college	4. Leisure time spent on reading (4-point scale ranging from [none of my time reading] to [a lot of my time reading]	5. Reading for school (hr)	6. Reading NOT for school (hr)	7. Books/materials read at home vs. at school (1-[yes], 2-[no])	8. Books/materials read at home	9. Reading on eBook devices (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on computers/laptops (5-point scale ranging from [none] to [>5 (hrs)])	9. Reading on smartphones(5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent texting friends R2	10. Time spent playing games online (5-point scale ranging from [none] to [>5 (hrs)])	10. Time spent watching TV (5-point scale ranging from [none] to [>5 (hrs)])	11. Favorite times to read	12. Where you read	13. Hours per week reading: Need to know information (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Interest or curiosity (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Relaxation or ‘escape’ (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	13. Hours per week reading: Others (5-point scale ranging from [<2 (hrs)] to [>15 (hrs)])	14. Examples for other purposes of reading	15. Preferred genre	16. Frequency: Sharing what you read (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from others (4-point scale ranging from [never or hardly ever] to almost every day])	16. Frequency: Borrowing books from libraries (4-point scale ranging from [never or hardly ever] to almost every day])	17. Categories of reading for enjoyment	18. Reading habits: Like hard, challenging books (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Make pictures in my mind (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Don’t like reading difficult (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Enjoy different countries (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn difficult things (4-point Likert scale ranging from [true for me] to [not true for me])	18. Reading habits: Learn interesting topics (4-point Likert scale ranging from [true for me] to [not true for me])	19. I like reading (4-point Likert scale ranging from [very true of me] to [not true of me])	20. Reading is (4-point Likert scale ranging from [very easy for me] to [very hard for me])	A LittleVery Little. Knowledge about Astronomy (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Engineering (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Environment (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Mathematics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Physics (Very Much-point Likert scale ranging from [very little] to [very much])	A LittleVery Little. Knowledge about Technology (Very Much-point Likert scale ranging from [very little] to [very much])
001	18	F	1	Biology	Undergraduate student	Biology	some of my time reading	10	2	No	n/a	None	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	none	none	In the morning before school, Lunchtime, In the evening, Before falling asleep, Whenever I can	At the library, In the living room or family room, In the bathroom, In front of a computer or TV, In bed	6-10 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	When I am eating lunch/dinner	books	once or twice a week	once or twice a month	once or twice a month	(auto)biography, drama, poetry, short stories, science, science fiction, comics/humor	Somewhat  untrue for me	True for me	Not true for me	True for me	True for me	True for me	Very true of me	very easy for me	A little	Very little	Moderate	A lot	Very little	A lot
002	24	M	1	Biomedical Sciences	Graduate student	Chemistry	some of my time reading	1	2	Yes	Fantasy and/or fiction books	None	3-5 (hrs)	None	none	<2 (hrs)	none	Before falling asleep, Whenever I can	In front of a computer or TV, In bed	6-10 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	Journal Club or assignment	books	once or twice a month	once or twice a month	never or hardly ever	science fiction, fantasy/mysteries, comics/humor	Somewhat true for me	Somewhat true for me	Not true for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat true of me	very easy for me	A little	Moderate	A lot	Moderate	Moderate	A lot
003	23	F	1	Biomedical Sciences (BMS) Program, studying virology	Graduate student	Science	some of my time reading	5	1	Yes	I read scientific papers in the lab; however, I home I like to read autobiographies/biographies and other nonfictional works. Some are science related, like books by Mary Roach, but not all are. 	<2 (hrs)	3-5 (hrs)	None	<2 (hrs)	none	3-5 (hrs)	In the evening, Before falling asleep	In the living room or family room, In bed	6-10 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	n/a	plays	once or twice a week	never or hardly ever	never or hardly ever	(auto)biography, science, nature and environment, comics/humor	Not true for me	True for me	Somewhat true for me	True for me	Somewhat  untrue for me	True for me	Very true of me	kind of easy for me	Moderate	Very little	Very much	A little	Very little	Very little
004	23	F	1	MD/PhD student	Graduate student	English	some of my time reading	5	2	Yes	Newspaper, magazines, novels.	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	<2 (hrs)	none	<2 (hrs)	Lunchtime, After school, Before falling asleep	In the living room or family room, In front of a computer or TV, In bed	3-5 (hrs)	3-5 (hrs)	3-5 (hrs)	<2 (hrs)	I didn't mean to check that box.	books	once or twice a month	once or twice a month	never or hardly ever	thrillers, drama, history, fantasy/mysteries, comics/humor	True for me	True for me	Not true for me	Somewhat true for me	True for me	True for me	Very true of me	very easy for me	A little	A little	A lot	Moderate	A little	Moderate
005	23	F	1	Neuroscience/Public Health	Graduate student	Science	a lot of my time reading	3	5	Yes	Drama, young adult	<2 (hrs)	<2 (hrs)	<2 (hrs)	3-5 (hrs)	none	<2 (hrs)	In the evening, Before falling asleep	In bed, Anywhere I can	6-10 (hrs)	6-10 (hrs)	3-5 (hrs)	n/a	n/a	books	almost every day	once or twice a month	never or hardly ever	(auto)biography, thrillers, drama, poetry, short stories, nature and environment, romance	Somewhat true for me	True for me	Somewhat  untrue for me	True for me	True for me	True for me	Somewhat true of me	kind of easy for me	Moderate	Very little	Very much	Very much	Very little	Very much
006	27	F	1	Public Health	Graduate student	Science/Math	some of my time reading	1	6	Yes	magazines, fantasy, twitter/science articles	None	3-5 (hrs)	<2 (hrs)	2-3 (hrs)	none	<2 (hrs)	Lunchtime, Before falling asleep, Whenever I can	In school, At the library, In the living room or family room, In front of a computer or TV, In bed	3-5 (hrs)	3-5 (hrs)	3-5 (hrs)	3-5 (hrs)	work (research)	movies	once or twice a month	never or hardly ever	never or hardly ever	(auto)biography, drama, science, science fiction, nature and environment, fantasy/mysteries, comics/humor	Somewhat true for me	Somewhat true for me	Somewhat true for me	Somewhat  untrue for me	Somewhat true for me	Somewhat true for me	Somewhat true of me	kind of easy for me	Very little	Very little	A little	Moderate	A little	Moderate
007	28	M	1	Finance	Undergraduate student	History	some of my time reading	4	1	Yes	Satirical, coming of age, political commentary. ex: Infinite jest, catcher in the rye, diary of a young poet.	<2 (hrs)	None	None	3-5 (hrs)	2-3 (hrs)	<2 (hrs)	During school, Lunchtime	In school, At the library, In a car or truck, In the living room or family room	3-5 (hrs)	6-10 (hrs)	<2 (hrs)	<2 (hrs)	n/a	poems	never or hardly ever	once or twice a month	never or hardly ever	(auto)biography, drama, poetry, short stories, history	True for me	Not true for me	Not true for me	Somewhat true for me	True for me	Somewhat true for me	Very true of me	kind of easy for me	Very little	A little	Moderate	A lot	A little	A little
008	22	M	1	Statistics	Undergraduate student	Music	some of my time reading	3	3	Yes	music theory books	None	3-5 (hrs)	2-3 (hrs)	<2 (hrs)	none	<2 (hrs)	Whenever I can	Anywhere I can	11-15 (hrs)	6-10 (hrs)	6-10 (hrs)	<2 (hrs)	n/a	movies	once or twice a month	once or twice a month	once or twice a month	(auto)biography, poetry, short stories, history, science, nature and environment, fantasy/mysteries, comics/humor, music	Somewhat true for me	True for me	Not true for me	Somewhat true for me	True for me	True for me	Very true of me	kind of easy for me	A little	Moderate	Moderate	Moderate	Moderate	Moderate
009	23	F	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	<2 (hrs)	none	2-3 (hrs)	Lunchtime, Before falling asleep	In the living room or family room, In bed	<2 (hrs)	<2 (hrs)	3-5 (hrs)	n/a	n/a	books	once or twice a month	once or twice a month	once or twice a week	thrillers, drama, fantasy/mysteries	Somewhat  untrue for me	True for me	Somewhat true for me	Somewhat true for me	Somewhat  untrue for me	Somewhat true for me	Very true of me	kind of easy for me	Very little	Very little	A little	A little	A little	Moderate
010	18	M	1	Electrical Engineering 	Undergraduate student	Physics	very little of my time reading	1	1	Yes	I read sports and statistics articles. 	None	<2 (hrs)	<2 (hrs)	2-3 (hrs)	2-3 (hrs)	<2 (hrs)	Lunchtime, In the evening, After school	In school, At the library, In front of a computer or TV, In bed	<2 (hrs)	3-5 (hrs)	<2 (hrs)	<2 (hrs)	To learn trivial things to impress someone or prove them wrong.	movies	never or hardly ever	never or hardly ever	never or hardly ever	sports, history, science	Not true for me	True for me	Somewhat true for me	Not true for me	Somewhat  untrue for me	Somewhat  untrue for me	Not true of me	very easy for me	A little	Very much	Moderate	A lot	Very much	Very much
