ID	age	gender
sub-01	26	F
sub-02	26	F
sub-03	28	F
sub-04	28	F
sub-05	31	F
sub-06	31	F
sub-07	31	F
sub-08	32	F
sub-09	32	F
sub-10	32	F
sub-11	34	F
sub-12	35	F
sub-13	35	F
sub-14	35	F
sub-15	34	F
sub-16	35	F
sub-17	35	F
sub-18	36	F
sub-19	36	F
sub-20	37	F
sub-21	37	F
sub-22	38	F
sub-23	39	F
sub-24	39	F
sub-25	38	F
sub-26	40	F
sub-27	42	F
sub-28	47	F
sub-29	33	F
sub-30	38	F
sub-31	34	F
sub-32	33	F
sub-33	33	F
sub-34	25	F
sub-35	26	F
sub-36	28	F
sub-37	29	F
sub-38	29	F
sub-39	29	F
sub-40	31	F
sub-41	32	F
sub-42	32	F
sub-43	34	F
sub-44	35	F
sub-45	35	F
sub-46	35	F
sub-47	35	F
sub-48	35	F
sub-49	37	F
sub-50	37	F
sub-51	42	F
sub-52	40	F
sub-53	41	F
sub-54	43	F
sub-55	45	F
sub-56	44	F
sub-57	45	F
sub-58	47	F
sub-59	48	F
