participant_id	Age	Gender	Handedness
sub-001	24.74	F	R
sub-002	23.32	F	R
sub-003	24.33	M	R
sub-004	25.14	M	R
sub-005	25.1	F	R
sub-006	24.63	F	R
sub-007	28.64	M	R
sub-008	24.41	F	R
sub-009	26.27	M	R
sub-010	31.73	F	R
sub-011	24.41	M	R
sub-012	26.2	F	R
sub-013	24.96	F	R
sub-014	27.11	F	R
sub-015	22.66	M	R
sub-016	22.28	M	R
sub-017	18.56	M	R
sub-018	29.9	M	R
sub-019	21.08	M	R
sub-020	21.66	M	R
sub-021	23.44	M	R
sub-022	30.8	M	R
sub-023	23.3	M	R
sub-024	19.69	M	R
sub-025	23.3	M	R
sub-026	24.03	M	R
sub-027	22.72	M	R
sub-028	22.71	M	R
sub-029	26.17	M	R
sub-030	21.13	F	R
sub-031	25.33	M	R
sub-032	25.49	M	R
sub-033	23.88	F	R
sub-034	25.76	M	R
sub-035	23.68	F	R
sub-036	21.81	F	R
sub-037	26.78	F	R
sub-038	25.96	F	R
sub-039	23.29	M	R
sub-040	22.67	M	R
sub-041	24.5	F	R
sub-042	23.56	M	R
sub-043	22.99	F	R
sub-044	26.23	F	R
sub-045	22.67	M	R
sub-046	24.83	M	R
sub-047	22.89	F	R
sub-048	23.68	M	R
sub-049	23.2	F	R
sub-050	28.77	F	R
sub-051	27.27	F	R
sub-052	21.68	F	R
sub-053	27.32	F	R
sub-054	27.72	M	R
sub-055	22.29	F	R
sub-056	22.38	F	R
sub-057	24.14	M	R
sub-058	26.48	M	R
sub-059	23.53	M	R
sub-060	25.91	F	R
sub-061	26.25	M	R
sub-062	24.38	M	R
sub-063	26.49	M	R
sub-064	23.55	F	R
sub-065	26.15	F	R
sub-066	28.02	M	R
sub-067	25.35	F	R
sub-068	21.74	F	R
sub-069	25.2	M	R
sub-070	26.85	M	R
sub-071	23.35	F	R
sub-072	26.98	M	R
sub-073	25.34	F	R
sub-074	21.32	F	R
sub-075	22.71	M	R
sub-076	29.68	F	R
sub-077	23.22	M	R
sub-078	21.57	F	R
sub-079	26.4	M	R
sub-080	22.8	F	R
sub-081	28.05	M	R
sub-082	25.11	F	R
sub-083	29.31	M	R
sub-084	23.07	F	R
sub-085	26.12	F	R
sub-086	23.92	F	R
sub-087	23.34	F	R
sub-088	22.62	F	R
sub-089	28.07	F	R
sub-090	22.27	F	R
sub-091	26.65	F	R
sub-092	27.55	M	R
sub-093	24.87	M	R
sub-094	23.57	M	R
sub-095	24.71	M	R
sub-096	24.85	F	R
sub-097	23.66	M	R
sub-098	30.16	M	R
sub-099	26.4	M	R
sub-100	28.11	F	R
sub-101	26.64	F	R
sub-102	29.24	M	R
sub-103	23.57	F	R
sub-104	21.24	M	R
sub-105	23.26	F	R
sub-106	25.94	F	R
sub-107	23.49	M	R
sub-108	25.05	F	R
sub-109	25.1	M	R
sub-110	26.68	F	R
sub-111	22.11	F	R
sub-112	21.94	F	R
sub-113	24.61	F	R
sub-114	26.95	M	R
sub-115	23.96	F	R
sub-116	24.24	F	R
sub-117	24.46	M	R
sub-118	26.1	F	R
sub-119	21.74	M	R
sub-120	21.41	F	R
